station_index,latitude,longitude,date_time,time_zone,aqi,city_name,city_url,dominant_pollution,pollution_co,pollution_dew,pollution_h,pollution_o3,pollution_p,pollution_pm10,pollution_pm25,pollution_r,pollution_so2,pollution_t
931,22.696848,114.04539,2019-10-06 12:00:00,+08:00,72,https://aqicn.org/city/shenzhen/guanlan,,pm25,4.9,,57.2,44.7,1013.9,40,72,,4.1,29.4
932,22.670922,113.823012,,+0800,-,http://aqicn.org/city/shenzhen/fuyong/,,,,,51,,,,,,,27
933,40.757093,111.724539,2019-10-06 12:00:00,+08:00,59,https://aqicn.org/city/china/huhehaote/huafeichangshenghuoqu,,pm25,6.4,,,,,32,59,,4.1,
934,40.795085,111.628978,2019-10-06 13:00:00,+08:00,34,https://aqicn.org/city/china/huhehaote/hushiyijian,,pm25,4.6,,,,,19,34,,4.1,
935,40.7999638,111.6612439,2019-10-06 13:00:00,+08:00,46,https://aqicn.org/city/china/huhehaote/xiaozhao,,pm25,5.5,,,,,27,46,,4.1,
936,40.845941,111.661607,2019-10-06 13:00:00,+08:00,38,https://aqicn.org/city/china/huhehaote/xingsongxiaoqu,,pm25,6.4,,,,,26,38,,4.6,
937,40.812974,111.615625,2019-10-06 13:00:00,+08:00,46,https://aqicn.org/city/china/huhehaote/tangchang,,pm25,5.5,,,,,17,46,,4.6,
938,40.842299,111.749138,2019-10-06 13:00:00,+08:00,26,https://aqicn.org/city/china/huhehaote/ruyishuichulichang,,pm10,5.5,,,,,26,17,,3.1,
939,40.277474,111.204041,2019-10-06 13:00:00,+08:00,20,https://aqicn.org/city/china/huhehaote/ershijiuzhong,,pm10,5.5,2.2,52.1,,893.3,20,9,0.2,4.6,11.7
940,40.842299,111.749138,2019-10-06 13:00:00,+08:00,50,https://aqicn.org/city/china/huhehaote/gongdajinchuanxiaoqu,,pm25,3.7,,,,,30,50,,5.1,
941,26.072105,119.352919,2019-10-06 12:00:00,+08:00,70,https://aqicn.org/city/china/fuzhou/gushan,,pm25,5.7,18.1,60,47.2,1009.7,42,70,,2.1,26.5
942,119.418528,26.028202,2017-04-18 10:00:00,+08:00,63,http://aqicn.org/city/china/fuzhou/kuaian/,,pm25,8.2,,78,,1008,22,63,,3.1,24
943,26.038712,119.309506,2019-10-06 12:00:00,+08:00,78,https://aqicn.org/city/china/fuzhou/shida,,pm25,6.4,18.1,60,50,1009.7,47,78,,1.6,26.5
944,26.0867964,119.3081791,2019-10-06 12:00:00,+08:00,87,https://aqicn.org/city/china/fuzhou/wusibeilu,,pm25,7.6,18.1,60,48.8,1009.7,48,87,,1.6,26.5
